category,city,email,name,phones,products,site,social
Металлопрокат,Москва,"msk@novametcom.com,info@novametcom.com",Новаметалл Трейд,tel:+74957754735,"Алюминиевый профнастил Н114,Алюминиевый профнастил Н57,Алюминиевый профнастил Н60,Алюминиевый профнастил Н75,Алюминиевый профнастил НС35,Алюминиевый профнастил НС44,Алюминиевый профнастил С20,Алюминиевый профнастил С21,Алюминиевый профнастил С44,Алюминиевый профнастил С8,Закрытый ППН 1,5х150-400,Закрытый ППН 1,5х150-400 алюминиевый,Закрытый ППН 1,5х150-400 нержавеющий,Закрытый ППН 1,5х150-400 оцинкованный,Закрытый ППН 2,5х150-400,Закрытый ППН 2,5х150-400 алюминиевый,Закрытый ППН 2,5х150-400 нержавеющий,Закрытый ППН 2,5х150-400 оцинкованный,Закрытый ППН 2х150-400,Закрытый ППН 2х150-400 алюминиевый,Закрытый ППН 2х150-400 нержавеющий,Закрытый ППН 2х150-400 оцинкованный,Зубчатый ППН 1,5х120-480,Зубчатый ППН 1,5х120-480 алюминиевый,Зубчатый ППН 1,5х120-480 нержавеющий,Зубчатый ППН 1,5х120-480 оцинкованный,Зубчатый ППН 2,5х120-480,Зубчатый ППН 2,5х120-480 алюминиевый,Зубчатый ППН 2,5х120-480 нержавеющий,Зубчатый ППН 2,5х120-480 оцинкованный,Зубчатый ППН 2х120-480,Зубчатый ППН 2х120-480 алюминиевый,Зубчатый ППН 2х120-480 нержавеющий,Зубчатый ППН 2х120-480 оцинкованный,Круглый ППН 1,5х150-300,Круглый ППН 1,5х150-300 алюминиевый,Круглый ППН 1,5х150-300 нержавеющий,Круглый ППН 1,5х150-300 оцинкованный,Круглый ППН 2,5х150-300,Круглый ППН 2,5х150-300 алюминиевый,Круглый ППН 2,5х150-300 нержавеющий,Круглый ППН 2,5х150-300 оцинкованный,Круглый ППН 2х150-300,Круглый ППН 2х150-300 алюминиевый,Круглый ППН 2х150-300 нержавеющий,Круглый ППН 2х150-300 оцинкованный,Лист оцинкованный 0,35 1250х2500 мм,Лист оцинкованный 0,4 1250х2500 мм,Лист оцинкованный 0,45 1000х2000 мм,Лист оцинкованный 0,5 1000х2000 мм,Лист оцинкованный 0,5 1250х2500 мм,Лист оцинкованный 0,55 1000х2000 мм,Лист оцинкованный 0,55 1250х2500 мм,Лист оцинкованный 0,6 1000х2000 мм,Лист оцинкованный 0,6 1250х2500 мм,Лист оцинкованный 0,65 1000х2000 мм,Лист оцинкованный 0,65 1250х2500 мм,Лист оцинкованный 0,7 1000х2000 мм,Лист оцинкованный 0,7 1250х2500 мм,Лист оцинкованный 0,8 1250х2500 мм,Лист оцинкованный 0,9 1250х2500 мм,Лист оцинкованный 1 1250х2500 мм,Лист оцинкованный 1,2 1250х2500 мм,Лист оцинкованный 1,4 1250х2500 мм,Лист оцинкованный 1,5 1250х2500 мм,Лист оцинкованный 1,8 1250х2500 мм,Лист оцинкованный 2 1250х2500 мм,Лист оцинкованный 2,5 1250х2500 мм,Лист оцинкованный 3 1250х2500 мм,Лист перфорированный,Оцинкованный профнастил Н-57, 0,55 мм,Просечно-вытяжной лист 306x1000x2000 ПВЛ-306,Просечно-вытяжной лист 406x1000x1370 ПВЛ-406,Просечно-вытяжной лист 406x1000x1850 ПВЛ-406,Просечно-вытяжной лист 406x1000x2000 ПВЛ-406,Просечно-вытяжной лист 406x1250x2300 ПВЛ-406,Просечно-вытяжной лист 408x1000x1800 ПВЛ-408,Просечно-вытяжной лист 408x1000x2000 ПВЛ-408,Просечно-вытяжной лист 408x1000x2100 ПВЛ-408,Просечно-вытяжной лист 408x1000x2200 ПВЛ-408,Просечно-вытяжной лист 408x1000x2350 ПВЛ-408,Просечно-вытяжной лист 408x1000x2500 ПВЛ-408,Просечно-вытяжной лист 408x1200x2200 ПВЛ-408,Просечно-вытяжной лист 410x1000x2000 ПВЛ-410,Просечно-вытяжной лист 410x900x2000 ПВЛ-410,Просечно-вытяжной лист 506x1000x1800 ПВЛ-506,Просечно-вытяжной лист 506x1000x1900 ПВЛ-506,Просечно-вытяжной лист 506x1000x2000 ПВЛ-506,Просечно-вытяжной лист 506x1000x3000 ПВЛ-506,Просечно-вытяжной лист 506x1850x3000 ПВЛ-506,Просечно-вытяжной лист 508x1000x2000 ПВЛ-508,Просечно-вытяжной лист 508x1000x2400 ПВЛ-508,Просечно-вытяжной лист 510x1000x1500 ПВЛ-510,Просечно-вытяжной лист 510x1000x1650 ПВЛ-510,Просечно-вытяжной лист 510x1000x2000 ПВЛ-510,Просечно-вытяжной лист 510x1000x2400 ПВЛ-510,Просечно-вытяжной лист 510x1000x3500 ПВЛ-510,Просечно-вытяжной лист 606x1000x2000 ПВЛ-606,Просечно-вытяжной лист 606x1000x2600 ПВЛ-606,Просечно-вытяжной лист 606x1000x3400 ПВЛ-606,Просечно-вытяжной лист 608x1000x2000 ПВЛ-608,Профнастил C10, 0,4 мм, оцинкованный,Профнастил C10, 0,4 мм, полимерный,Профнастил C10, 0,45 мм, оцинкованный,Профнастил C10, 0,45 мм, полимерный,Профнастил C10, 0,5 мм, оцинкованный,Профнастил C10, 0,5 мм, полимерный,Профнастил C20, 0,4 мм, оцинкованный,Профнастил C20, 0,4 мм, полимерный,Профнастил C20, 0,45 мм, оцинкованный,Профнастил C20, 0,45 мм, полимерный,Профнастил C20, 0,5 мм, оцинкованный,Профнастил C20, 0,5 мм, полимерный,Профнастил Н114, 750 мм, оцинкованный,Профнастил Н57, 0,55 мм, полимерный,Профнастил Н57, 0,6 мм, полимерный,Профнастил Н57, 0,7 мм, полимерный,Профнастил Н57, 0,8 мм, полимерный,Профнастил Н57, 0,9 мм, полимерный,Профнастил Н57, 1 мм, полимерный,Профнастил Н60, 845 мм, оцинкованный,Профнастил Н60, 845 мм, полимерный,Профнастил Н75, 750 мм, оцинкованный,Профнастил Н75, 750 мм, полимерный,Профнастил НС20, 1100 мм оцинкованный,Профнастил НС20, 1100 мм полимерный,Профнастил НС35, 1100 мм оцинкованный,Профнастил НС35, 1100 мм полимерный,Профнастил НС44, 1000 мм оцинкованный,Профнастил НС44, 1000 мм полимерный,Профнастил С21, 1000 мм, оцинкованный,Профнастил С21, 1000 мм, полимерный,Профнастил С44, 1000 мм, оцинкованный,Профнастил С44, 1000 мм, полимерный,Профнастил С8, 1150 мм, оцинкованный,Профнастил С8, 1150 мм, полимерный,Решетчатый настил SP 1034х592х30х3,Решетчатый настил SP 1035х570х30х3,Решетчатый настил SP 1062х1000х30х3,Решетчатый настил SP 1062х510х30х3,Решетчатый настил SP 1132х480x30х3,Решетчатый настил SP 1157х1000х30х3,Решетчатый настил SP 1176х1000х30х3,Решетчатый настил SP 1184х1000x30х3,Решетчатый настил SP 1184х585x30х3,Решетчатый настил SP 1184х960x30х3,Решетчатый настил SP 1188х1000х30х3,Решетчатый настил SP 1188х580х30х3,Решетчатый настил SP 1256х510х30х3,Решетчатый настил SP 1262х1000х30х3,Решетчатый настил SP 1383х1000х30х3,Решетчатый настил SP 1383х714х30х3,Решетчатый настил SP 1440x1000x30х3,Решетчатый настил SP 1455х500х30х3,Решетчатый настил SP 1573х1000х30х3,Решетчатый настил SP 1723x1000x30х3,Решетчатый настил SP 1723x500x30х3,Решетчатый настил SP 1723x570x30х3,Решетчатый настил SP 2014х785х30х3,Решетчатый настил SP 2188х988х30х3,Решетчатый настил SP 2348x1000x30х3,Решетчатый настил SP 2660x1000x30х3,Решетчатый настил SP 2660x615x30х3,Решетчатый настил SP 3085х1000х30х3,Решетчатый настил SP 3154х1000х30х3,Решетчатый настил SP 3154х803х30х3,Решетчатый настил SP 830х200х30х3,Решетчатый настил SP 941х520х30х3,Рулон оцинкованный 0.35х1250 мм,Рулон оцинкованный 0.45х1250 мм,Рулон оцинкованный 0.4х1250 мм,Рулон оцинкованный 0.55х1000 мм,Рулон оцинкованный 0.55х1250 мм,Рулон оцинкованный 0.5х1000 мм,Рулон оцинкованный 0.5х1250 мм,Рулон оцинкованный 0.65х1000 мм,Рулон оцинкованный 0.65х1250 мм,Рулон оцинкованный 0.6х1000 мм,Рулон оцинкованный 0.6х1250 мм,Рулон оцинкованный 0.7х1000 мм,Рулон оцинкованный 0.7х1250 мм,Рулон оцинкованный 0.8х1250 мм,Рулон оцинкованный 0.9х1250 мм,Рулон оцинкованный 1.2х1250 мм,Рулон оцинкованный 1.4х1250 мм,Рулон оцинкованный 1.5х1250 мм,Рулон оцинкованный 1.8х1250 мм,Рулон оцинкованный 1х1250 мм,Рулон оцинкованный 2.5х1250 мм,Рулон оцинкованный 2х1250 мм,Рулон оцинкованный 3х1250 мм,Рулон полимерный 0,4х1250,Рулон полимерный 0,5х1250,Рулон полимерный 0,7х1250,Рулон полимерный 0,8х1250,Рулон полимерный RAL 1014, 0.45х1250,Рулон полимерный RAL 1014, 0.4х1250,Рулон полимерный RAL 1014, 0.5х1250,Рулон полимерный RAL 1015, 0.45х1250,Рулон полимерный RAL 1015, 0.4х1250,Рулон полимерный RAL 1015, 0.5х1250,Рулон полимерный RAL 1018, 0.5х1250,Рулон полимерный RAL 2001, 0.4х1250,Рулон полимерный RAL 3003, 0.45х1250,Рулон полимерный RAL 3003, 0.5х1250,Рулон полимерный RAL 3005, 0.35х1250,Рулон полимерный RAL 3005, 0.45х1250,Рулон полимерный RAL 3005, 0.4х1250,Рулон полимерный RAL 3005, 0.5х1250,Рулон полимерный RAL 3005, 0.6х1250,Рулон полимерный RAL 3009, 0.45х1250,Рулон полимерный RAL 3011, 0.45х1250,Рулон полимерный RAL 3011, 0.5х1250,Рулон полимерный RAL 5002, 0.45х1250,Рулон полимерный RAL 5002, 0.5х1250,Рулон полимерный RAL 5005, 0.35х1250,Рулон полимерный RAL 5005, 0.45х1250,Рулон полимерный RAL 5005, 0.5х1250,Рулон полимерный RAL 5005, 0.6х1250,Рулон полимерный RAL 5021, 0.5х1250,Рулон полимерный RAL 6002, 0.5х1250,Рулон полимерный RAL 6005, 0.35х1250,Рулон полимерный RAL 6005, 0.45х1250,Рулон полимерный RAL 6005, 0.4х1250,Рулон полимерный RAL 6005, 0.5х1250,Рулон полимерный RAL 6005, 0.6х1250,Рулон полимерный RAL 6005, 0.7х1250,Рулон полимерный RAL 6020, 0.5х1250,Рулон полимерный RAL 7004, 0.45х1250,Рулон полимерный RAL 7004, 0.4х1250,Рулон полимерный RAL 7004, 0.5х1250,Рулон полимерный RAL 7024, 0.45х1250,Рулон полимерный RAL 7024, 0.5х1250,Рулон полимерный RAL 8017, 0.35х1250,Рулон полимерный RAL 8017, 0.45х1250,Рулон полимерный RAL 8017, 0.5х1250,Рулон полимерный RAL 8017, 0.6х1250,Рулон полимерный RAL 8017, 0.7х1250,Рулон полимерный RAL 8019, 0.45х1250,Рулон полимерный RAL 8019, 0.4х1250,Рулон полимерный RAL 8019, 0.5х1250,Рулон полимерный RAL 9002, 0.45х1250,Рулон полимерный RAL 9002, 0.4х1250,Рулон полимерный RAL 9002, 0.55х1250,Рулон полимерный RAL 9002, 0.5х1060,Рулон полимерный RAL 9002, 0.5х1250,Рулон полимерный RAL 9002, 0.6х1250,Рулон полимерный RAL 9002, 0.7х1250,Рулон полимерный RAL 9003, 0.35х1250,Рулон полимерный RAL 9003, 0.55х1250,Рулон полимерный RAL 9003, 0.5х1050,Рулон полимерный RAL 9003, 0.5х1060,Рулон полимерный RAL 9003, 0.5х1250,Рулон полимерный RAL 9003, 0.6х1250,Рулон полимерный RAL 9003, 0.7х1250,Рулон полимерный RAL 9006, 0.45х1250,Рулон полимерный RAL 9006, 0.5х1250,Рулон полимерный RAL 9010, 0.5х1250,Рулон полимерный RAL 9010, 0.6х1250,Трап ППН 1,5х150-300,Трап ППН 1,5х150-300 алюминиевый,Трап ППН 1,5х150-300 нержавеющий,Трап ППН 1,5х150-300 оцинкованный,Трап ППН 2,5х150-300,Трап ППН 2,5х150-300 алюминиевый,Трап ППН 2,5х150-300 нержавеющий,Трап ППН 2,5х150-300 оцинкованный,Трап ППН 2х150-300,Трап ППН 2х150-300 алюминиевый,Трап ППН 2х150-300 нержавеющий,Трап ППН 2х150-300 оцинкованный,Труба квадратная профильная оцинкованная 100х3,Труба квадратная профильная оцинкованная 100х4,Труба квадратная профильная оцинкованная 20х2,Труба квадратная профильная оцинкованная 25х2,Труба квадратная профильная оцинкованная 40х2,Труба квадратная профильная оцинкованная 60х2,Труба квадратная профильная оцинкованная 80х2,Труба квадратная профильная оцинкованная 80х3,Труба квадратная профильная оцинкованная 80х4,Труба оцинкованная э/с 102х3,5 ГОСТ 10704,10705,Труба оцинкованная э/с 102х4,0 ГОСТ 10704,10705,Труба оцинкованная э/с 108х3,0 ГОСТ 10704,10705,Труба оцинкованная э/с 108х3,5 ГОСТ 10704,10705,Труба оцинкованная э/с 108х4,0 ГОСТ 10704,10705,Труба оцинкованная э/с 114х4,0 ГОСТ 10704,10705,Труба оцинкованная э/с 114х4,5 ГОСТ 10704,10705,Труба оцинкованная э/с 133х4,0 ГОСТ 10704,10705,Труба оцинкованная э/с 133х4,5 ГОСТ 10704,10705,Труба оцинкованная э/с 159х4,0 ГОСТ 10704,10705,Труба оцинкованная э/с 159х4,5 ГОСТ 10704,10705,Труба оцинкованная э/с 159х5,0 ГОСТ 10704,10705,Труба оцинкованная э/с 159х6,0 ГОСТ 10704,10705,Труба оцинкованная э/с 219х4,5 ГОСТ 10704,10705,Труба оцинкованная э/с 219х5,0 ГОСТ 10704,10705,Труба оцинкованная э/с 219х6,0 ГОСТ 10704,10705,Труба оцинкованная э/с 219х8,0 ГОСТ 10704,10705,Труба оцинкованная э/с 273х5,0 ГОСТ 10704,10705,Труба оцинкованная э/с 273х6,0 ГОСТ 10704,10705,Труба оцинкованная э/с 273х7,0 ГОСТ 10704,10705,Труба оцинкованная э/с 325х6,0 ГОСТ 10704,10705,Труба оцинкованная э/с 325х7,0 ГОСТ 10704,10705,Труба оцинкованная э/с 325х8,0 ГОСТ 10704,10705,Труба оцинкованная э/с 426х10,0 ГОСТ 10704,10705,Труба оцинкованная э/с 426х6,0 ГОСТ 10704,10705,Труба оцинкованная э/с 426х8,0 ГОСТ 10704,10705,Труба оцинкованная э/с 48х3,0 ГОСТ 10704,10705,Труба оцинкованная э/с 530х10,0 ГОСТ 10704,10705,Труба оцинкованная э/с 530х8,0 ГОСТ 10704,10705,Труба оцинкованная э/с 57х3,0 ГОСТ 10704,10705,Труба оцинкованная э/с 57х3,5 ГОСТ 10704,10705,Труба оцинкованная э/с 57х4,0 ГОСТ 10704,10705,Труба оцинкованная э/с 630х10,0 ГОСТ 10704,10705,Труба оцинкованная э/с 630х8,0 ГОСТ 10704,10705,Труба оцинкованная э/с 76х3,0 ГОСТ 10704,10705,Труба оцинкованная э/с 76х3,5 ГОСТ 10704,10705,Труба оцинкованная э/с 76х4,0 ГОСТ 10704,10705,Труба оцинкованная э/с 89х3,0 ГОСТ 10704,10705,Труба оцинкованная э/с 89х3,5 ГОСТ 10704,10705,Труба оцинкованная э/с 89х4,0 ГОСТ 10704,10705,Труба профильная оцинкованная 100х50,Труба профильная оцинкованная 160х100,Труба профильная оцинкованная 180х100,Труба профильная оцинкованная 70х50,Труба профильная оцинкованная 100х40,Труба профильная оцинкованная 100х60,Труба профильная оцинкованная 120х40,Труба профильная оцинкованная 120х60,Труба профильная оцинкованная 120х80,Труба профильная оцинкованная 140х100,Труба профильная оцинкованная 140х60,Труба профильная оцинкованная 150х100,Труба профильная оцинкованная 160х120,Труба профильная оцинкованная 160х80,Труба профильная оцинкованная 180х120,Труба профильная оцинкованная 180х140,Труба профильная оцинкованная 200х100,Труба профильная оцинкованная 200х120,Труба профильная оцинкованная 200х140,Труба профильная оцинкованная 200х160,Труба профильная оцинкованная 20х10,Труба профильная оцинкованная 220х100,Труба профильная оцинкованная 240х160,Труба профильная оцинкованная 250х150,Труба профильная оцинкованная 25х10,Труба профильная оцинкованная 25х15,Труба профильная оцинкованная 25х28,Труба профильная оцинкованная 300х200,Труба профильная оцинкованная 30х10,Труба профильная оцинкованная 30х15,Труба профильная оцинкованная 30х20,Труба профильная оцинкованная 30х25,Труба профильная оцинкованная 35х15,Труба профильная оцинкованная 35х20,Труба профильная оцинкованная 35х30,Труба профильная оцинкованная 40х20,Труба профильная оцинкованная 40х25,Труба профильная оцинкованная 45х20,Труба профильная оцинкованная 45х30,Труба профильная оцинкованная 50х25,Труба профильная оцинкованная 50х28,Труба профильная оцинкованная 50х30,Труба профильная оцинкованная 60х30,Труба профильная оцинкованная 60х40,Труба профильная оцинкованная 70х30,Труба профильная оцинкованная 80х40,Труба профильная оцинкованная 80х60,Штрипс оцинкованный 0.35 х 1250 мм,Штрипс оцинкованный 0.4 х 1250 мм,Штрипс оцинкованный 0.45 х 1250 мм,Штрипс оцинкованный 0.5 х 1250 мм,Штрипс оцинкованный 0.55 х 1250 мм,Штрипс оцинкованный 0.6 х 1250 мм,Штрипс оцинкованный 0.65 х 1250 мм,Штрипс оцинкованный 0.7 х 1250 мм,Штрипс оцинкованный 0.75 х 1250 мм,Штрипс оцинкованный 0.8 х 1250 мм,Штрипс оцинкованный 0.9 х 1250 мм,Штрипс оцинкованный 1 х 1250 мм,Штрипс оцинкованный 1.2 х 1250 мм,Штрипс оцинкованный 1.5 х 1250 мм,Штрипс оцинкованный 2 х 1250 мм,Штрипс оцинкованный 2.5 х 1250,Штрипс оцинкованный с полимерным покрытием 0,4 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 0,45 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 0,5 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 0,55 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 0,6 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 0,65 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 0,7 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 0,75 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 0,8 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 0,85 х 1250,Штрипс оцинкованный с полимерным покрытием 0,9 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 0.35 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 1 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 1.2 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 1.5 х 1250 мм,Штрипс оцинкованный с полимерным покрытием 2 х 1250 мм",novametcom.ru,"https://facebook.com/novametaltrade,https://vk.com/public79574704,https://instagram.com/novametal_trade,https://twitter.com/novametaltrade"
Металлопрокат,Москва,,Сортпрокат,tel:+74996422180,"Арматура от,Балка от,Уголок от,Круг от,Труба от,Сетка от,Швеллер от,Квадрат от,Катанка от",sort-prokat.ru,https://wa.me/79854372719?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
Металлопрокат,Москва,,Пункт приема металлолома,tel:+79877373736,"Медь блеск от 10 кг,Латунь от 10кг,Аккумуляторы,Электротех,Свинец,Нержавейка 10%,Черный металл от 1 тонны,Вывоз металлолома",priemmet.2gis.biz,"https://vk.com/priemmetallamedi,https://wa.me/79877373736?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79877373736"
Металлопрокат,Москва,1348825@mail.ru,Технолом,tel:+79031348825,,lomcabelcu.ru,https://wa.me/79999897484?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
Металлопрокат,Москва,info@ferost.ru,Демидов,tel:+74959376335,,www.demidovsteel.ru,
Металлопрокат,Москва,info@metallurg-moskva.ru,Прочная Сталь,tel:+74954813841,"Арматура А1, 10 мм, Ст3 строительная,Арматура А1, 12 мм, Ст3 строительная,Арматура А1, 14 мм, Ст3 строительная,Арматура А1, 16 мм, Ст3 строительная,Арматура А1, 18 мм, Ст3 строительная,Арматура А1, 20 мм, Ст3 строительная,Арматура А1, 22 мм, Ст3 строительная,Арматура А1, 25 мм, Ст3 строительная,Арматура А1, 32 мм, Ст3 строительная,Арматура А1, 36 мм, Ст3 строительная,Арматура А1, 40 мм, Ст3 строительная,Арматура А3, 10 мм, 25Г2С строительная,Арматура А3, 10 мм, 35ГС строительная,Арматура А3, 10 мм, А500С строительная,Арматура А3, 12 мм, 25Г2С строительная,Арматура А3, 12 мм, 35ГС строительная,Арматура А3, 12 мм, А500С строительная,Арматура А3, 14 мм, 25Г2С строительная,Арматура А3, 14 мм, 35ГС строительная,Арматура А3, 14 мм, А500С строительная,Арматура А3, 16 мм, 25Г2С строительная,Арматура А3, 16 мм, 35ГС строительная,Арматура А3, 16 мм, А500С строительная,Арматура А3, 18 мм, 25Г2С строительная,Арматура А3, 18 мм, 35ГС строительная,Арматура А3, 18 мм, А500С строительная,Арматура А3, 20 мм, А500С строительная,Арматура А3, 8 мм, А500С строительная,БАЛКА ДВУТАВРОВАЯ 14 ГОСТ 8239-93 (11 м.),БАЛКА ДВУТАВРОВАЯ 14 ГОСТ 8239-93 (12 м.),БАЛКА ДВУТАВРОВАЯ 18 ГОСТ 8239-93 (11 м.),БАЛКА ДВУТАВРОВАЯ 18 ГОСТ 8239-93 (12 м.),БАЛКА ДВУТАВРОВАЯ 20 ГОСТ 8239-93 (11 м.),БАЛКА ДВУТАВРОВАЯ 20 ГОСТ 8239-93 (12 м.),Балка двутавровая 10 ГОСТ 8239-93,Балка двутавровая 10 ГОСТ 8239-93 10,Балка двутавровая 10 ГОСТ 8239-93 10 ГОСТ 8239-89,Балка двутавровая 12 ГОСТ 8239-89,Балка двутавровая 12 ГОСТ 8239-89 12,Балка двутавровая 12 ГОСТ 8239-89 12 ГОСТ 8239-89,Балка двутавровая 14 ГОСТ 8239-93,Балка двутавровая 14 ГОСТ 8239-93 14,Балка двутавровая 14 ГОСТ 8239-93 14 ГОСТ 8239-89,Балка двутавровая 16 ГОСТ 8239-89,Балка двутавровая 16 ГОСТ 8239-89 16,Балка двутавровая 16 ГОСТ 8239-89 16 ГОСТ 8239-89,Балка двутавровая 16 ГОСТ 8239-93,Балка двутавровая 16 ГОСТ 8239-93 16,Балка двутавровая 16 ГОСТ 8239-93 16 ГОСТ 8239-89,Балка двутавровая 18 ГОСТ 8239-89,Балка двутавровая 18 ГОСТ 8239-89 18,Балка двутавровая 18 ГОСТ 8239-89 18 ГОСТ 8239-89,Балка двутавровая 18 ГОСТ 8239-93 18,Балка двутавровая 18 ГОСТ 8239-93 18 ГОСТ 8239-89,Балка двутавровая 20 ГОСТ 8239-93,Балка двутавровая 20 ГОСТ 8239-93 20,Балка двутавровая 20 ГОСТ 8239-93 20 ГОСТ 8239-89,Балка двутавровая 20 К1 АСЧМ 20-93 20 С255 СТО 20-93,Балка двутавровая 20 К1 АСЧМ 20-93 20 СТО 20-93,Балка двутавровая 20 К2 АСЧМ 20-93 20 СТО 20-93,Балка двутавровая 20 Ш1 АСЧМ 20-93 20 С255 СТО 20-93,Балка двутавровая 20 Ш1 АСЧМ 20-93 20 СТО 20-93,Балка двутавровая 24 М ГОСТ 19425-74 24,Балка двутавровая 24 М ГОСТ 19425-74 24 ГОСТ 19425-74,Балка двутавровая 25 К1 АСЧМ 20-93 25 С255 СТО 20-93,Балка двутавровая 25 К1 АСЧМ 20-93 25 СТО 20-93,Балка двутавровая 25 К2 АСЧМ 20-93,Балка двутавровая 30 ГОСТ 8239-93,Балка двутавровая 30 ГОСТ 8239-93 30,Балка двутавровая 30 К1 АСЧМ 20-93,Балка двутавровая 30 К2 АСЧМ 20-93,Балка двутавровая 30 М ГОСТ 19425-74 30,Балка двутавровая 30 Ш1 АСЧМ 20-93,Балка двутавровая 35 Ш1 АСЧМ 20-93,Балка двутавровая 36 ГОСТ 8239-93,Балка двутавровая 36 ГОСТ 8239-93 36,Балка двутавровая 36 М ГОСТ 19425-74 36,Балка двутавровая 40 К2 АСЧМ 20-93,Балка двутавровая 40 Ш1 АСЧМ 20-93,Балка двутавровая 45 ГОСТ 8239-93,Балка двутавровая 45 ГОСТ 8239-93 45,Балка двутавровая 45 М ГОСТ 19425-74 45,Балка двутавровая 45 Ш1 АСЧМ 20-93,Балка двутавровая 50 Ш1 АСЧМ 20-93,Балка двутавровая 50 Ш1 без сертификата АСЧМ 20-93,Балка двутавровая 60 Ш2 АСЧМ 20-93,Балка двутавровая 70 Ш1 АСЧМ 20-93,Балка двутавровая 70 Ш2 АСЧМ 20-93,Газовая резкаот 40 до 300,Гидроабразивнаяот 2 до 90,Гладкая арматура А1 10, Ст3 10 Ст3,Гладкая арматура А1 12, Ст3 12 Ст3,Гладкая арматура А1 14, Ст3 14 Ст3,Гладкая арматура А1 16, Ст3 16 Ст3,Гладкая арматура А1 18, Ст3 18 Ст3,Гладкая арматура А1 20, Ст3 20 Ст3,Гладкая арматура А1 22, Ст3 22 Ст3,Гладкая арматура А1 25, Ст3 25 Ст3,Гладкая арматура А1 32, Ст3 32 Ст3,Гладкая арматура А1 36, Ст3 36 Ст3",metallurg-moskva.ru,"https://instagram.com/prochnaya_stal,https://facebook.com/prochnayastal"
Металлопрокат,Москва,,Завод Темп,tel:+74959935838,,ztemp.ru,
Металлопрокат,Москва,,ЕвразХолдинг,tel:+74952344631,,www.evraz.com,https://facebook.com/evrazplc
Металлопрокат,Москва,,ЮЖНЫЙ РЕЧНОЙ ПОРТ,tel:+74957717307,,www.urport.ru,
Металлопрокат,Москва,,Северсталь,tel:+74959267766,,www.severstal.com,"https://vk.com/severstal,https://twitter.com/Severstal,https://facebook.com/severstaloao,https://instagram.com/pao_severstal,https://youtube.com/user/OAOSeverstal"
