category,city,email,name,phones,site,social
Металлопрокат,Москва,,Завод Темп,tel:+74959935838,ztemp.ru,
Металлопрокат,Москва,,ЕвразХолдинг,tel:+74952344631,www.evraz.com,https://facebook.com/evrazplc
Металлопрокат,Москва,,ЮЖНЫЙ РЕЧНОЙ ПОРТ,tel:+74957717307,www.urport.ru,
Металлопрокат,Москва,,Северсталь,tel:+74959267766,www.severstal.com,"https://vk.com/severstal,https://twitter.com/Severstal,https://facebook.com/severstaloao,https://instagram.com/pao_severstal,https://youtube.com/user/OAOSeverstal"
Металлопрокат,Москва,,Объединенная Металлургическая Компания,tel:+74952317771,www.omk.ru,"https://facebook.com/omkru,https://youtube.com/user/OMKPipeCompany,https://instagram.com/omk.ru,https://vk.com/omk_official,https://twitter.com/OMKru"
Металлопрокат,Москва,,Оптовые базы,tel:+74959020048,www.korporacia.ru,https://youtube.com/user/KORPORACIARU
Металлопрокат,Москва,,МЕТАЛЛСЕРВИС,tel:88005551914,"www.mc.ru,mc.ru,mc.ru","https://twitter.com/oaometallservis,https://facebook.com/oaometallservice,https://instagram.com/metallservice"
Металлопрокат,Москва,,СТРОЙМАГ 41 км,tel:+79163669442,stroymag41km.ru,"https://wa.me/79856136707?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://wa.me/79163669442?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A"
Металлопрокат,Москва,,Максидом,tel:+74959953535,maxidom.ru,"https://ok.ru/maxidom,https://twitter.com/maxidom,https://facebook.com/maxidom.ru,https://vk.com/club22549103,https://instagram.com/maxidom"
Металлопрокат,Москва,,Сортпрокат,tel:+74996422180,sort-prokat.ru,https://wa.me/79854372719?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
Металлопрокат,Москва,1348825@mail.ru,Технолом,tel:+79031348825,lomcabelcu.ru,https://wa.me/79999897484?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
Металлопрокат,Москва,,Пункт приема металлолома,tel:+79877373736,priemmet.2gis.biz,"https://vk.com/priemmetallamedi,https://wa.me/79877373736?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79877373736"
Металлопрокат,Москва,strmir@strmir.ru,Строительный мир,tel:+74954142276,strmir.ru,
Металлопрокат,Москва,info@ferost.ru,Демидов,tel:+74959376335,www.demidovsteel.ru,
