category,city,email,name,phones,products,site,social
Строительные материалы,Москва,,GermaFleksGroup,+7 (499) 322-10-11,,plexpart.ru,https://www.instagram.com/plexpart
Строительные материалы,Москва,,Строймаркет,+7 (495) 769-58-55,,www.santechnika19.ru,"https://viber.click/79260396161,https://www.instagram.com/santechnika19"
Строительные материалы,Москва,,Brick Stone,+7 (495) 649-45-12,,b-stone.ru,"https://viber.click/9263226828,https://wa.me/9263226828,https://www.instagram.com/brick_stone"
Строительные материалы,Москва,,Стройматериалы Строймартик,+7 (499) 455-00-27,,stroymartik.ru,"https://viber.click/79651558550,https://wa.me/79651558550"
Строительные материалы,Москва,,Kremen,+7 (861) 213-94-62,,kremen.ru,"https://vk.com/kremenru,https://www.facebook.com/kremen.ru,https://www.instagram.com/kremen_ru"
Торгово-производственная компания,Москва,,Северная Торгово-промышленная Компания,+7 (495) 545-44-71,,,
Торгово-производственная компания,Москва,,ТПК СКМ,+7 (495) 128-98-94,,ckm-mtc.ru,
Торгово-производственная компания,Москва,,"Производственно-торговая компания Экзотика, офис",+7 (495) 390-67-88,,melnikov-tex.ru,"https://viber.click/79687772772,https://vk.com/melnikovtex,https://wa.me/79687772772,https://www.facebook.com/Mikhail,https://www.instagram.com/melnikovtex"
Торгово-производственная компания,Москва,,Торгово-производственная компания Феникс Ам,+7 (495) 673-70-66,,fenixrezaki.ru,
Торгово-производственная компания,Москва,,Торгово-Промышленная компания Мотор - Редуктор,8 (800) 500-09-19,,motorreductor.ru,https://instagram.com/motorreduktor.msk
Торгово-производственная компания,Москва,,"Торгово-производственная компания, склад",8 (800) 505-79-25,,free-nrg.ru,"http://facebook.com/groups/591714747672341,http://instagram.com/free_nrg.ru,https://twitter.com/@free_nrg,https://vk.com/free__nrg,https://www.youtube.com/channel/UCvLzLCFnZsqiC3nnx3ozuFA"
Торгово-производственная компания,Москва,,МосГорЦех,+7 (495) 260-12-80,,mosgorcex.ru,https://www.instagram.com/mosgorcex
Торгово-производственная компания,Москва,,Торговая Промышленная Компания,+7 (905) 116-77-15,,tpcompany.ru,"https://twitter.com/ZhKgulAfIn7SNB9,https://vk.com/public199116657"
Торгово-производственная компания,Москва,,Торгово-производственная компания Ютеко,+7 (925) 517-14-61,,www.uteco.ru,http://vk.com/utecomsk
Торгово-производственная компания,Москва,,Торгово-производственная компания Натурекс,,,www.naturex.com,https://twitter.com/naturexgroup
Строительная компания,Москва,,Лесрум,+7 (499) 938-41-97,,www.lesroom.ru,"https://twitter.com/Lesroom,https://viber.click/84957601109,https://vk.com/lesroom,https://wa.me/79265720909,https://www.facebook.com/ooolesroom,https://www.instagram.com/lesroom,https://www.youtube.com/channel/UCHTTqBzANPbQMo5V-kA0EiQ"
Строительная компания,Москва,,СК Небо,+7 (495) 172-46-03,"Евро ремонт,Капитальный ремонт,Косметический ремонт",sknebo.ru,https://www.instagram.com/sk.nebo/
Строительная компания,Москва,,Точка Решений,+7 (495) 127-79-90,,tochkaresheny.ru,
Строительная компания,Москва,,Дон-Строй Инвест,+7 (495) 463-08-81,,donstroy.com,"http://facebook.com/pg/dsinv,http://youtube.com/channel/UC7w4mrhPBCjLOdNXvpM07VQ,https://vk.com/dsinv,https://www.instagram.com/donstroy_msk"
Строительная компания,Москва,,Boes Construction,+7 (495) 916-68-68,,www.boesconstruction.com,http://facebook.com/boes-construction-167405880475709
Строительная компания,Москва,,Прайдекс констракшин,+7 (495) 646-10-12,,www.pridex.ru,"https://facebook.com/pridexgroup,https://twitter.com/pridexgroup"
